Country,Year,Indicator,Year,Value
Peru,2019,Confirmed Cases,2019,24324
Peru,2018,Confirmed Cases,2018,45619
Peru,2017,Confirmed Cases,2017,55367
Peru,2016,Confirmed Cases,2016,56623
Peru,2015,Confirmed Cases,2015,66609
Peru,2014,Confirmed Cases,2014,65252
Peru,2013,Confirmed Cases,2013,48719
Peru,2012,Confirmed Cases,2012,31436
Peru,2011,Confirmed Cases,2011,25005
Peru,2010,Confirmed Cases,2010,31545
Peru,2009,Confirmed Cases,2009,42645
Peru,2008,Confirmed Cases,2008,44522
Peru,2007,Confirmed Cases,2007,50797
Peru,2006,Confirmed Cases,2006,64925
Peru,2005,Confirmed Cases,2005,87699
Peru,2004,Confirmed Cases,2004,93581
Peru,2003,Confirmed Cases,2003,88408
Peru,2002,Confirmed Cases,2002,99237
Peru,2001,Confirmed Cases,2001,78544
Peru,2000,Confirmed Cases,2000,68321
Peru,1999,Confirmed Cases,1999,161292
Peru,1998,Confirmed Cases,1998,247229
Peru,1997,Confirmed Cases,1997,180338
Peru,1996,Confirmed Cases,1996,211561
Peru,1995,Confirmed Cases,1995,190521
Peru,1994,Confirmed Cases,1994,122039
Peru,1993,Confirmed Cases,1993,98557
Peru,1992,Confirmed Cases,1992,54922
Peru,1991,Confirmed Cases,1991,33705
Peru,1990,Confirmed Cases,1990,28882
Peru,1989,Confirmed Cases,1989,32114
Peru,1988,Confirmed Cases,1988,32359
Peru,1987,Confirmed Cases,1987,39136
Peru,1986,Confirmed Cases,1986,36866
Peru,1985,Confirmed Cases,1985,35026
Peru,1984,Confirmed Cases,1984,33724
Peru,1983,Confirmed Cases,1983,28563
Peru,1982,Confirmed Cases,1982,20483
Peru,1981,Confirmed Cases,1981,14812
Peru,1980,Confirmed Cases,1980,14982
Peru,1979,Confirmed Cases,1979,17127
Peru,1978,Confirmed Cases,1978,20376
Peru,1977,Confirmed Cases,1977,32410
Peru,1976,Confirmed Cases,1976,18462
Peru,1975,Confirmed Cases,1975,14338
Peru,1974,Confirmed Cases,1974,12485
Peru,1973,Confirmed Cases,1973,12033
Peru,1972,Confirmed Cases,1972,9270
Peru,1971,Confirmed Cases,1971,4128
Peru,1970,Confirmed Cases,1970,4494
